,ID,Customer_Join_Date,Year_Birth,Customer_Join_Age,Age_Group,Education,Income_Class,Marital_Status,Income,Kidhome,Teenhome,Childrenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotalPurchase,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumOfPurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp6,Accepted_Rate,NumDealsPurchases,Complain
33,7373,2012-10-29,1952,60,Old,PhD,Middle,Divorced,46610,0,2,2,8,96,12,96,33,22,43,302,4,1,6,11,6,0,0,0,0,0,1,1,6,0
34,8755,2013-02-20,1946,67,Old,Master,Upper,Married,68657,0,0,0,4,482,34,471,119,68,22,1196,3,5,9,17,7,0,0,0,0,0,0,0,1,0
35,10738,2013-08-29,1951,62,Old,Master,Middle,Single,49389,1,1,2,55,40,0,19,2,1,3,65,2,0,3,5,7,0,0,0,0,0,0,0,1,0
36,4339,2013-12-31,1970,43,Adult,PhD,Middle,Married,67353,0,1,1,37,702,17,151,0,8,35,913,5,6,12,23,2,0,0,0,0,0,0,0,5,0
37,10755,2013-09-02,1976,37,Adult,2n Cycle,Lower,Married,23718,1,0,1,76,6,3,14,15,7,36,81,3,1,2,6,7,0,0,0,0,0,0,0,3,0
38,8595,2014-02-11,1973,41,Adult,Graduation,Middle,Widow,42429,0,1,1,99,55,0,6,2,0,4,67,1,1,3,5,5,0,0,0,0,0,0,0,2,0
39,2968,2013-02-01,1943,70,Old,PhD,Middle,Divorced,48948,0,0,0,53,437,8,206,160,49,42,902,7,10,5,22,6,0,0,1,0,0,1,2,2,0
40,8601,2013-04-29,1980,33,Adult,Graduation,Upper,Married,80011,0,1,1,3,421,76,536,82,178,102,1395,8,6,5,19,4,0,0,0,0,0,0,0,2,0
41,503,2013-03-12,1985,28,Adult,Master,Lower,Married,20559,1,0,1,88,13,1,29,3,0,7,53,2,0,3,5,8,0,0,0,0,0,0,0,2,0
42,8430,2012-12-24,1957,55,Adult,Graduation,Lower,Together,21994,0,1,1,4,9,0,6,3,1,3,22,0,0,3,3,5,0,0,0,0,0,0,0,1,0
43,7281,2013-11-05,1959,54,Adult,PhD,Middle,Single,51373,0,0,0,80,81,11,50,3,2,39,186,1,3,4,8,2,0,0,0,0,0,0,0,1,0
44,2139,2013-10-02,1975,38,Adult,Master,Lower,Married,7500,1,0,1,19,3,1,10,3,2,12,31,2,0,3,5,5,0,0,0,0,0,0,0,3,0
45,1371,2014-06-28,1976,38,Adult,Graduation,Upper,Single,79941,0,0,0,72,123,164,266,227,30,174,984,2,4,9,15,1,0,0,0,0,0,0,0,1,0
46,9909,2012-11-09,1996,16,Young,2n Cycle,Lower,Married,7500,0,0,0,24,3,18,14,15,22,50,122,3,1,3,7,9,0,0,0,0,0,1,1,3,0
47,7286,2013-05-24,1968,45,Adult,Graduation,Middle,Together,41728,1,0,1,92,13,6,15,3,5,13,55,2,0,2,4,10,0,0,0,0,0,0,0,1,0
48,7244,2014-01-01,1951,63,Old,Graduation,Middle,Single,51373,2,1,3,96,48,5,48,6,10,7,124,2,1,4,7,6,0,0,0,0,0,0,0,3,0
49,6566,2012-11-08,1954,58,Adult,PhD,Upper,Married,72550,1,1,2,39,826,50,317,50,38,38,1319,5,2,12,19,8,0,0,0,0,0,0,0,9,0
50,8614,2014-05-12,1957,57,Adult,Graduation,Middle,Widow,65486,0,1,1,29,245,19,125,37,67,14,507,4,2,10,16,2,0,0,0,0,0,0,0,1,0
51,4114,2012-08-11,1964,48,Adult,Master,Upper,Married,79143,0,0,0,2,650,37,780,27,167,32,1693,6,9,13,28,3,0,0,0,0,0,0,0,1,0
52,1331,2013-01-02,1977,36,Adult,Graduation,Middle,Single,35790,1,0,1,54,12,6,20,30,1,3,72,2,0,3,5,7,0,0,0,0,0,0,0,2,0
53,2225,2014-06-07,1977,37,Adult,Graduation,Upper,Divorced,82582,0,0,0,54,510,120,550,156,40,241,1617,4,9,7,20,1,1,0,1,0,0,1,3,1,0
54,9381,2013-06-12,1978,35,Adult,Graduation,Middle,Married,66373,1,1,2,57,328,9,124,12,24,109,606,4,2,10,16,3,0,0,0,0,0,0,0,7,0
55,6260,2012-11-19,1955,57,Adult,Master,Upper,Together,82384,0,0,0,55,984,51,432,180,120,190,1957,3,10,13,26,1,0,0,0,0,1,1,2,1,0
56,10383,2013-04-02,1966,47,Adult,Graduation,Upper,Divorced,70287,0,0,0,30,295,35,482,121,120,40,1093,5,5,10,20,3,0,0,0,0,0,1,1,1,0
57,7437,2014-04-28,1988,26,Adult,Graduation,Lower,Single,27938,1,0,1,31,13,0,8,2,1,5,29,1,0,4,5,3,0,0,0,0,0,0,0,1,0
58,8557,2013-06-17,1982,31,Adult,Graduation,Middle,Single,51373,1,0,1,57,11,3,22,2,2,6,46,2,0,3,5,6,0,0,0,0,0,0,0,2,0
59,8375,2014-03-03,1968,46,Adult,PhD,Middle,Married,55954,0,1,1,63,447,0,28,0,0,43,518,8,2,6,16,7,0,0,0,0,0,0,0,3,0
60,6853,2013-07-04,1982,31,Adult,Master,Upper,Single,75777,0,0,0,12,712,26,538,69,13,80,1438,3,6,11,20,1,0,0,0,1,1,1,3,1,0
61,3076,2012-09-07,1975,37,Adult,Graduation,Middle,Together,66653,1,1,2,18,452,18,102,16,18,6,612,4,2,12,18,3,0,0,0,0,0,0,0,4,0
62,1012,2013-02-18,1952,61,Old,Graduation,Middle,Single,61823,0,1,1,26,523,7,134,37,14,169,884,8,2,10,20,7,0,0,0,0,0,0,0,4,0
63,6518,2013-06-11,1951,62,Old,PhD,Middle,Widow,67680,0,1,1,8,546,0,48,0,6,6,606,7,3,8,18,5,0,0,0,0,0,0,0,1,0
64,4137,2013-12-06,1948,65,Old,Graduation,Upper,Together,70666,0,0,0,29,398,40,367,119,122,30,1076,7,4,4,15,4,0,0,0,0,0,0,0,1,0
65,8082,2013-05-21,1971,42,Adult,Graduation,Lower,Married,25721,1,0,1,75,1,3,6,3,6,15,34,1,1,2,4,7,0,0,0,0,0,1,1,1,0
66,1386,2014-05-11,1967,47,Adult,Graduation,Lower,Together,32474,1,1,2,0,10,0,1,0,0,0,11,1,0,2,3,7,0,0,0,0,0,0,0,1,0
67,9369,2014-03-19,1979,35,Adult,2n Cycle,Upper,Single,88194,0,1,1,19,688,14,309,201,24,38,1274,11,10,10,31,5,1,0,1,0,0,1,3,1,0
68,4477,2013-09-27,1958,55,Adult,Graduation,Upper,Together,69096,0,1,1,4,247,49,159,7,82,109,653,5,2,10,17,4,0,0,0,0,0,0,0,1,0
69,1357,2013-04-08,1970,43,Adult,Graduation,Upper,Together,74854,1,2,3,90,856,59,487,58,29,73,1562,2,5,5,12,5,0,0,0,0,0,0,0,7,0
70,1402,2012-09-11,1954,58,Adult,Master,Middle,Married,66991,0,0,0,1,496,36,460,189,60,12,1253,4,8,6,18,3,0,0,0,0,0,0,0,3,0
71,10629,2012-09-14,1973,39,Adult,2n Cycle,Middle,Married,51373,1,0,1,25,25,3,43,17,4,17,109,3,0,3,6,8,0,0,0,0,0,0,0,3,0
72,6312,2013-03-17,1959,54,Adult,Graduation,Middle,Married,65031,0,1,1,29,258,107,291,84,37,86,863,10,3,13,26,7,0,0,0,0,0,0,0,4,0
73,8132,2013-04-05,1975,38,Adult,PhD,Middle,Married,60631,1,1,2,88,565,6,65,0,6,19,661,9,2,8,19,7,0,0,0,1,0,0,1,5,0
74,1050,2014-04-30,1952,62,Old,Graduation,Lower,Married,28332,0,0,0,58,14,10,13,4,15,9,65,2,1,4,7,2,0,0,0,0,0,0,0,1,0
75,5846,2012-12-19,1977,35,Adult,Graduation,Middle,Divorced,40246,1,0,1,68,2,1,6,2,1,1,13,1,0,2,3,6,0,0,0,0,0,0,0,1,0
76,1859,2012-08-27,1972,40,Adult,Master,Upper,Married,75251,0,0,0,34,721,111,925,97,18,18,1890,7,6,5,18,5,0,0,0,0,0,1,1,1,0
77,7503,2012-10-12,1976,36,Adult,Graduation,Upper,Single,75825,0,0,0,40,1032,105,779,137,105,51,2209,5,8,9,22,4,0,0,1,0,0,1,2,0,0
78,10401,2013-09-04,1976,37,Adult,2n Cycle,Lower,Together,26326,0,0,0,12,1,0,5,0,3,9,18,0,0,3,3,3,0,0,0,0,0,0,0,1,1
79,1618,2013-01-02,1965,48,Adult,Graduation,Middle,Together,56046,0,0,0,9,577,0,64,0,0,51,692,10,1,8,19,8,0,0,1,0,0,1,2,2,0
80,3332,2012-08-29,1985,27,Adult,Graduation,Lower,Single,29760,1,0,1,87,64,4,68,7,5,17,165,3,1,4,8,8,0,0,0,0,0,0,0,4,0
81,2261,2013-06-23,1969,44,Adult,Graduation,Lower,Married,26304,1,0,1,5,4,1,5,2,0,4,16,1,0,2,3,7,0,0,0,0,0,0,0,1,0
82,5346,2013-07-03,1973,40,Adult,2n Cycle,Lower,Married,23559,1,0,1,87,25,5,19,7,0,23,79,3,0,3,6,7,0,0,0,0,0,0,0,3,0
83,4119,2013-05-11,1963,50,Adult,Master,Middle,Together,38620,0,0,0,56,112,17,44,34,22,89,318,2,5,3,10,3,0,0,0,0,0,0,0,1,0
84,535,2014-02-25,1987,27,Adult,Graduation,Upper,Divorced,81361,0,0,0,18,163,23,424,27,65,76,778,3,10,13,26,1,0,0,0,0,0,0,0,1,0
85,5268,2013-08-11,1960,53,Adult,Graduation,Lower,Married,29440,1,1,2,95,17,8,14,10,4,3,56,1,0,4,5,7,0,0,0,0,0,0,0,2,0
86,273,2013-07-16,1970,43,Adult,Master,Middle,Married,36138,1,1,2,48,130,0,16,0,0,5,151,3,1,4,8,7,0,0,0,1,0,0,1,5,0
87,4452,2014-05-28,1957,57,Adult,Graduation,Middle,Single,50388,0,1,1,3,292,6,37,0,3,34,372,6,1,6,13,7,1,0,0,1,0,1,3,4,0
88,8504,2014-05-12,1973,41,Adult,Graduation,Upper,Married,79593,0,0,0,70,350,60,568,110,133,145,1366,5,6,7,18,2,0,0,0,0,1,0,1,1,0
89,771,2014-01-21,1967,47,Adult,Graduation,Middle,Together,54178,0,1,1,79,135,9,39,4,0,7,194,2,2,5,9,2,0,0,0,0,0,0,0,1,0
90,8996,2012-11-19,1957,55,Adult,PhD,Middle,Married,51373,2,1,3,4,230,42,192,49,37,53,603,7,2,8,17,9,0,0,0,0,0,0,0,12,0
91,9235,2014-05-27,1957,57,Adult,Graduation,Middle,Single,51373,1,1,2,45,7,0,8,2,0,1,18,1,0,2,3,7,0,0,0,0,0,0,0,1,0
92,5798,2013-11-23,1973,40,Adult,Master,Middle,Together,51373,0,0,0,87,445,37,359,98,28,18,985,2,4,8,14,1,0,0,0,0,0,0,0,1,0
93,11178,2014-03-23,1972,42,Adult,Master,Middle,Single,42394,1,0,1,69,15,2,10,0,1,4,32,1,0,3,4,7,0,0,0,0,0,0,0,1,0
94,2230,2014-05-24,1970,44,Adult,PhD,Lower,Married,23626,1,0,1,84,27,2,14,0,0,0,43,3,1,3,7,5,0,0,0,0,0,0,0,3,0
95,7516,2014-05-22,1983,31,Adult,Graduation,Lower,Married,30096,1,0,1,30,5,3,11,12,5,9,45,2,0,3,5,6,0,0,0,0,0,0,0,1,0
96,7247,2012-11-22,1960,52,Adult,Graduation,Middle,Widow,47916,0,1,1,72,505,0,26,0,0,75,606,7,4,6,17,6,0,0,0,1,0,0,1,5,0
97,11100,2013-04-11,1972,41,Adult,Graduation,Middle,Divorced,51813,1,1,2,37,51,2,7,0,1,2,63,2,0,3,5,7,0,0,0,0,0,0,0,2,0
98,4646,2013-12-01,1951,62,Old,2n Cycle,Upper,Married,78497,0,0,0,44,207,26,447,75,0,223,978,5,7,12,24,2,1,0,0,0,0,0,1,1,0
99,3037,2013-06-20,1983,30,Adult,PhD,Middle,Married,50150,0,0,0,32,135,46,92,65,61,11,410,5,2,7,14,5,0,0,0,0,0,0,0,2,0
100,1473,2013-07-23,1960,53,Adult,2n Cycle,Middle,Single,47823,0,1,1,0,53,1,5,2,1,10,72,2,0,3,5,8,0,0,0,0,0,0,0,2,0
101,1016,2014-03-30,1959,55,Adult,PhD,Lower,Single,34554,0,1,1,43,41,1,6,2,0,5,55,2,0,3,5,6,0,0,0,0,0,0,0,2,0
102,4518,2013-04-20,1979,34,Adult,Graduation,Upper,Together,85693,0,1,1,59,386,172,183,185,132,111,1169,9,5,11,25,5,0,0,0,0,0,0,0,2,0
103,9370,2013-05-17,1945,68,Old,PhD,Middle,Married,65846,0,0,0,68,562,81,276,80,40,81,1120,6,3,6,15,4,0,0,0,0,0,0,0,1,0
104,8908,2014-05-08,1959,55,Adult,Graduation,Upper,Married,87195,0,0,0,35,217,76,690,50,26,38,1097,3,11,5,19,1,0,0,0,0,0,1,1,1,0
105,8373,2013-12-10,1979,34,Adult,Basic,Lower,Together,24594,1,0,1,94,1,3,6,10,0,9,29,1,0,3,4,5,0,0,0,0,0,0,0,1,0
106,7533,2013-09-24,1964,49,Adult,Graduation,Middle,Married,49096,1,1,2,15,144,1,32,2,1,7,187,4,1,4,9,7,0,0,0,0,0,0,0,4,0
107,2683,2013-02-02,1969,44,Adult,Graduation,Middle,Married,52413,0,2,2,56,295,106,271,75,98,65,910,6,4,12,22,6,0,0,0,0,0,0,0,4,0
108,3629,2012-12-19,1978,34,Adult,Graduation,Middle,Single,38557,1,0,1,17,76,3,31,4,4,27,145,3,1,3,7,7,0,0,0,0,0,0,0,2,0
109,10991,2012-12-07,1960,52,Adult,Master,Upper,Married,89058,0,0,0,18,454,194,106,31,22,43,850,5,4,4,13,2,0,0,0,0,0,0,0,1,0
110,5077,2013-11-02,1979,34,Adult,Graduation,Upper,Together,77298,0,1,1,46,425,115,292,23,35,79,969,6,6,11,23,3,0,0,0,0,0,0,0,1,0
111,7431,2012-11-10,1991,21,Young,PhD,Upper,Single,68126,0,0,0,40,1332,17,311,23,51,86,1820,7,4,5,16,9,0,0,0,1,0,1,2,1,0
112,3267,2014-06-25,1963,51,Adult,Master,Middle,Together,57288,0,1,1,27,527,0,21,0,0,60,608,8,1,8,17,6,0,0,0,1,0,0,1,3,0
113,999,2013-01-02,1991,22,Young,Graduation,Upper,Single,86037,0,0,0,95,490,44,125,29,20,22,730,6,7,11,24,3,0,0,0,1,1,1,3,1,0
114,9215,2012-12-12,1980,32,Adult,PhD,Middle,Married,43974,1,0,1,19,378,0,101,0,0,72,551,6,4,6,16,7,0,0,0,0,0,0,0,5,0
115,2286,2013-09-10,1962,51,Adult,Graduation,Middle,Single,50785,1,1,2,27,64,1,21,0,1,27,114,2,1,3,6,6,0,0,0,0,0,0,0,2,0
116,1592,2014-01-24,1970,44,Adult,Graduation,Upper,Married,90765,0,0,0,25,547,99,812,151,82,33,1724,4,6,5,15,1,1,0,0,0,1,0,2,0,0
117,367,2013-02-19,1978,35,Adult,2n Cycle,Middle,Married,36550,1,0,1,74,47,90,94,123,103,120,577,9,1,5,15,9,0,0,0,0,0,0,0,5,0
118,5234,2013-07-11,1967,46,Adult,2n Cycle,Lower,Together,30753,1,1,2,85,12,5,25,0,9,30,81,1,1,3,5,5,0,0,0,0,0,0,0,2,0
119,9862,2013-11-14,1969,44,Adult,Graduation,Lower,Together,21918,1,0,1,37,1,6,7,11,5,3,33,2,0,3,5,6,0,0,0,0,0,0,0,2,0
120,9805,2013-06-20,1953,60,Old,Master,Middle,Together,56129,0,1,1,65,320,48,133,39,72,48,660,6,2,10,18,4,0,0,0,0,0,0,0,4,0
121,6205,2014-02-24,1967,47,Adult,Master,Lower,Single,32557,1,0,1,13,34,3,29,0,4,10,80,2,1,3,6,5,0,0,0,0,0,1,1,3,0
122,8442,2013-09-04,1985,28,Adult,Master,Lower,Married,19510,2,0,2,63,9,0,7,3,4,7,30,1,0,3,4,7,0,0,0,0,0,0,0,2,0
123,7386,2013-04-22,1976,37,Adult,Graduation,Lower,Divorced,30992,1,0,1,83,17,0,14,7,3,2,43,1,0,3,4,7,0,0,0,0,0,0,0,1,0
124,7215,2013-03-12,1983,30,Adult,Graduation,Upper,Single,101970,0,0,0,69,722,27,102,44,72,168,1135,6,8,13,27,2,1,0,0,1,1,1,4,0,0
125,1491,2013-02-18,1965,48,Adult,2n Cycle,Upper,Together,71488,0,0,0,87,162,33,124,40,28,172,559,3,4,7,14,1,0,0,0,0,0,0,0,2,0
126,11071,2013-04-21,1984,29,Adult,Graduation,Upper,Single,79607,0,0,0,37,450,133,951,173,0,216,1923,3,6,6,15,1,0,0,0,0,0,1,1,1,0
127,3381,2014-06-08,1953,61,Old,Master,Middle,Married,54348,1,1,2,51,70,0,16,0,0,4,90,2,0,4,6,6,0,0,0,0,0,0,0,2,0
128,8268,2013-07-11,1961,52,Adult,PhD,Middle,Married,51373,0,1,1,23,352,0,27,10,0,15,404,6,1,7,14,6,0,0,0,0,0,0,0,3,0
129,11051,2014-05-10,1956,58,Adult,PhD,Upper,Together,77376,1,1,2,72,492,19,110,16,12,12,661,6,3,10,19,4,0,0,0,0,0,0,0,4,0
130,8026,2013-09-30,1952,61,Old,Graduation,Middle,Married,62998,0,1,1,10,120,58,73,65,89,58,463,5,4,5,14,5,0,0,0,0,0,0,0,5,0
131,433,2013-03-10,1958,55,Adult,Master,Middle,Single,61331,1,1,2,42,534,5,47,0,5,41,632,11,1,6,18,8,0,0,0,0,0,0,0,5,0
132,9597,2014-02-10,1969,45,Adult,Graduation,Upper,Married,73448,0,0,0,10,236,106,189,23,41,130,725,7,2,9,18,4,0,0,0,0,0,0,0,1,0
133,1295,2013-08-11,1963,50,Adult,Graduation,Middle,Married,51373,0,1,1,96,231,65,196,38,71,124,725,6,5,7,18,4,0,0,0,0,0,0,0,1,0
134,5290,2013-08-14,1964,49,Adult,PhD,Middle,Married,41551,1,1,2,51,220,0,33,3,0,23,279,5,1,5,11,8,0,0,0,0,0,0,0,5,0
135,1685,2013-03-17,1967,46,Adult,PhD,Middle,Together,62981,0,0,0,21,796,14,590,38,44,0,1482,4,5,13,22,3,0,0,0,1,0,0,1,1,0
136,5342,2012-08-08,1976,36,Adult,Basic,Lower,Divorced,9548,1,0,1,31,0,1,3,10,6,9,29,1,0,3,4,8,0,0,0,0,0,0,0,2,0
137,9579,2013-07-07,1959,54,Adult,PhD,Lower,Married,33762,2,1,3,61,53,1,34,2,0,16,106,2,2,2,6,8,0,0,0,0,0,0,0,3,0
138,7660,2014-05-19,1973,41,Adult,PhD,Middle,Single,35860,1,1,2,37,15,0,8,4,2,20,49,1,1,2,4,5,0,0,1,0,0,1,2,2,0
139,1461,2013-07-28,1965,48,Adult,PhD,Middle,Divorced,36921,1,1,2,74,17,1,12,3,1,4,38,2,0,3,5,7,0,0,0,0,0,0,0,2,0
140,821,2012-10-19,1992,20,Young,Master,Upper,Single,92859,0,0,0,46,962,61,921,52,61,20,2077,5,4,12,21,2,0,0,0,0,0,0,0,1,0
141,11084,2013-11-14,1976,37,Adult,Master,Middle,Together,65104,0,1,1,4,738,0,232,13,20,50,1053,3,5,7,15,7,0,0,0,0,0,1,1,2,0
142,8690,2013-04-19,1962,51,Adult,Graduation,Upper,Married,86111,0,0,0,73,399,28,756,36,40,126,1385,5,7,10,22,2,0,0,0,0,0,0,0,1,0
143,2937,2013-08-28,1974,39,Adult,PhD,Upper,Single,68352,0,1,1,47,614,16,132,43,33,33,871,8,5,9,22,6,0,0,0,0,0,0,0,3,0
144,9701,2013-03-19,1988,25,Adult,Graduation,Middle,Together,41883,1,0,1,13,32,34,41,73,16,116,312,4,2,3,9,7,0,0,0,0,0,0,0,3,0
145,9949,2012-10-18,1976,36,Adult,Graduation,Middle,Married,59809,0,2,2,36,598,16,141,32,41,49,877,3,3,6,12,8,0,0,0,0,0,0,0,3,0
146,10837,2012-10-28,1975,37,Adult,Graduation,Lower,Married,23957,1,0,1,47,2,1,18,20,11,16,68,2,0,3,5,6,0,0,0,0,0,1,1,1,0
147,3120,2013-08-28,1981,32,Adult,Graduation,Middle,Together,38547,1,0,1,49,6,1,10,0,1,4,22,1,0,2,3,8,0,0,0,0,0,0,0,1,1
148,5885,2012-08-22,1973,39,Adult,2n Cycle,Middle,Married,35688,2,1,3,94,73,3,90,12,1,32,211,4,1,4,9,8,0,0,0,0,0,0,0,7,0
149,4050,2014-06-21,1966,48,Adult,Master,Middle,Married,49605,0,0,0,65,42,16,29,12,20,8,127,2,1,4,7,3,0,0,0,0,0,0,0,1,0
150,3830,2014-04-24,1953,61,Old,Master,Middle,Married,59354,0,2,2,59,295,21,78,39,13,13,459,4,4,7,15,3,0,0,0,0,0,0,0,1,0
151,7987,2014-03-07,1969,45,Adult,Graduation,Middle,Married,65747,0,1,1,96,346,17,48,23,13,13,460,8,1,6,15,6,0,0,0,1,0,0,1,4,0
152,7798,2012-12-14,1972,40,Adult,2n Cycle,Middle,Together,46344,0,1,1,28,233,20,57,8,20,91,429,7,1,5,13,7,0,0,0,0,0,0,0,4,0
153,92,2014-05-12,1988,26,Adult,Graduation,Lower,Single,34176,1,0,1,12,5,7,24,19,14,20,89,3,0,4,7,6,0,0,0,0,0,0,0,4,0
154,7055,2012-10-09,1952,60,Old,PhD,Middle,Together,61010,0,1,1,57,888,0,57,0,0,76,1021,8,5,11,24,5,0,0,0,0,0,0,0,2,0
155,10240,2013-02-19,1949,64,Old,Graduation,Upper,Together,69372,0,0,0,10,997,26,269,34,13,42,1381,10,4,6,20,4,0,0,0,1,1,1,3,1,0
